Symbol,Date,Open,High,Low,Close,Volume,Amount,PctChange,Turnover,Source
002415,2025-08-28,725.21881263,736.7526399,715.5680592,733.92802914,90716760,2803129927.51,,,baostock
002415,2025-08-29,733.92802914,743.34339834,730.86803415,733.69264491,86500233,2709144477.95,,,baostock
002415,2025-09-01,734.3987976,737.22340836,724.9834284,733.22187645,69932677,2171963597.34,,,baostock
002415,2025-09-02,731.57418684,734.16341337,712.27267998,721.21728072,75306939,2310385500.23,,,baostock
002415,2025-09-03,721.45266495,726.86650224,700.50346848,703.7988477,64823677,1956421186.02,,,baostock
002415,2025-09-04,28.84,28.92,27.78,28.15,749056,2197851399.28,-2.09,0.83,baostock
002415,2025-09-05,689.6757939,698.14962618,682.37888277,697.20808926,55723637,1637903223.45,,,baostock
002415,2025-09-08,697.44347349,722.15881764,697.44347349,713.92036959,74952066,2269926292.99,,,baostock
002415,2025-09-09,713.92036959,713.92036959,706.15269,710.38960614,45418683,1369352609.1,,,baostock
002415,2025-09-10,713.2142169,722.6295861,704.97576885,710.8603746,49545198,1499729560.5,,,baostock
002415,2025-09-11,29.03,29.74,28.93,29.74,690172,2110916725.68,2.38,0.76,baostock
002415,2025-09-12,29.83,30.16,29.59,29.6,704978,2187807277.76,-0.47,0.78,baostock
002415,2025-09-15,723.57112302,727.10188647,713.44960113,717.68651727,49098976,1498757340.83,,,baostock
002415,2025-09-16,715.80344343,728.74957608,713.44960113,726.63111801,52135558,1599359737.81,,,baostock
002415,2025-09-17,29.72,29.81,29.23,29.6,480062,1472246994.1,-0.4,0.53,baostock
002415,2025-09-18,723.80650725,755.5833783,720.04035957,727.80803916,119137259,3727138853.27,,,baostock
002415,2025-09-19,727.80803916,731.10341838,721.68804918,722.86497033,57449779,1770162061.2,,,baostock
002415,2025-09-22,721.45266495,724.27727571,710.8603746,715.80344343,56041671,1704414624.51,,,baostock
002415,2025-09-23,715.80344343,721.68804918,703.32807924,712.97883267,58540738,1768501191.14,,,baostock
002415,2025-09-24,710.38960614,730.63264992,706.62345846,728.98496031,80514666,2460617368.96,,,baostock
002415,2025-09-25,729.691113,741.4603245,726.86650224,735.34033452,76454546,2388389969.55,,,baostock
002415,2025-09-26,734.16341337,737.69417682,719.33420688,721.68804918,55166826,1702939762.08,,,baostock
002415,2025-09-29,29.51,30.15,29.06,30.07,659294,2025428182.1,1.9,0.73,baostock
002415,2025-09-30,30.07,30.74,29.93,30.37,785014,2470207367.4,1.0,0.87,baostock
002415,2025-10-09,748.5218514,816.07712541,748.5218514,804.30791391,291095522,9883137909.12,,,baostock
002415,2025-10-10,804.5460294,821.2180904,792.3992421,807.6422693,192092499,6529742130.31,,,baostock
002415,2025-10-13,780.0142825,799.5444111,769.7728736,794.5427928,154199912,5075046931.17,,,baostock
002415,2025-10-14,32.77,34.03,32.3,32.5,1399432,4740161991.16,-0.34,1.55,baostock
002415,2025-10-15,788.5884853,805.2605463,775.4890088,794.7809651,102301172,3391789503.91,,,baostock
002415,2025-10-16,790.9702083,815.0256106,781.205144,795.495482,100157146,3341044489.0,,,baostock
002415,2025-10-17,794.3046205,812.167543,777.1562149,787.3976238,116180306,3857658496.57,,,baostock
002415,2025-10-20,807.1659247,809.78582,763.3422215,770.7255628,127913183,4186908902.15,,,baostock
002415,2025-10-21,31.61,32.04,31.47,31.83,751995,2449246069.91,0.7,0.83,baostock
002415,2025-10-22,769.5347013,800.258928,761.1986708,797.1626881,100321456,3304836689.05,,,baostock
002415,2025-10-23,32.62,32.95,32.01,32.68,704130,2343588102.15,-0.12,0.78,baostock
002415,2025-10-24,32.68,33.1,32.43,32.54,715806,2391640133.02,-0.43,0.79,baostock
002415,2025-10-27,32.88,33.53,32.63,33.15,947477,3206845210.82,1.87,1.05,baostock
002415,2025-10-28,32.8,32.99,32.2,32.23,747509,2489095789.55,-2.78,0.83,baostock
002415,2025-10-29,788.350313,796.4481712,786.2067623,794.3046205,50588481,1680721443.06,,,baostock
002415,2025-10-30,792.6374144,808.5949585,788.350313,791.2083806,75104552,2513012908.71,,,baostock
002415,2025-10-31,788.350313,801.9261341,781.205144,782.8723501,73380725,2432170771.18,,,baostock
002415,2025-11-03,32.13,32.4,31.31,31.85,590340,1917342461.25,-0.84,0.65,baostock
002415,2025-11-04,775.2508365,777.1562149,750.4809173,757.1497417,62853368,2009488488.94,,,baostock
002415,2025-11-05,749.2900558,753.3389849,739.7631638,750.242745,58225187,1825640597.83,,,baostock
002415,2025-11-06,755.006191,760.9604985,752.624468,757.387914,45062832,1432288356.1,,,baostock
002415,2025-11-07,751.4336065,754.2916741,746.6701605,747.1465051,39681247,1249820793.72,,,baostock
002415,2025-11-10,30.63,31.2,30.63,31.06,413663,1312089107.84,1.44,0.46,baostock
002415,2025-11-11,31.06,31.23,30.87,30.97,365490,1161834960.15,-0.29,0.4,baostock
002415,2025-11-12,751.4336065,754.7680187,740.9540253,748.5755389,37316878,1174338136.05,,,baostock
002415,2025-11-13,747.861022,760.9604985,746.9083328,754.7680187,37703415,1197168604.77,,,baostock
002415,2025-11-14,750.242745,752.1481234,745.7174713,745.7174713,36440923,1145330572.42,,,baostock
002415,2025-11-17,743.097576,745.0029544,725.4728258,725.4728258,63141990,1941162272.68,,,baostock
002415,2025-11-18,725.2346535,733.3325117,723.5674474,731.9034779,33843907,1037641324.27,,,baostock
002415,2025-11-19,731.9034779,735.952407,721.1857244,724.5201366,28458735,869432614.11,,,baostock
002415,2025-11-20,729.5217549,730.9507887,719.5185183,719.9948629,22881226,696969113.22,,,baostock
002415,2025-11-21,713.5642108,722.8529305,709.753454,710.2297986,41085567,1231660318.64,,,baostock
002415,2025-11-24,712.135177,716.6604507,707.371731,711.1824878,40630416,1214858257.84,,,baostock
002415,2025-11-25,29.35,29.67,29.21,29.24,454322,1371641367.2,0.45,0.5,baostock
002415,2025-11-26,29.27,29.33,29.1,29.15,299289,896599313.16,-0.31,0.33,baostock
002415,2025-11-27,713.8023831,714.9932446,707.6099033,708.0862479,29737424,888837157.01,,,baostock
002415,2025-11-28,708.0862479,715.2314169,705.9426972,714.9932446,25531109,761711725.08,,,baostock
002415,2025-12-01,714.7550723,728.3308934,712.8496939,728.3308934,42357906,1285247626.84,,,baostock
002415,2025-12-02,726.6636873,730.7126164,722.8529305,726.9018596,25369000,773849369.92,,,baostock
002415,2025-12-03,726.1873427,727.6163765,719.9948629,722.6147582,20861567,633782017.13,,,baostock
002415,2025-12-04,721.662069,727.6163765,720.2330352,722.8529305,18438196,559477072.27,,,baostock
002415,2025-12-05,722.8529305,723.5674474,711.1824878,716.1841061,39751051,1193536335.67,,,baostock
002415,2025-12-08,718.0894845,730.2362718,717.8513122,724.7583089,42477281,1293161198.11,,,baostock
002415,2025-12-09,724.043792,724.5201366,713.0878662,714.2787277,35184985,1058664975.78,,,baostock
002415,2025-12-10,714.2787277,717.1367953,708.5625925,714.5169,24783061,740775488.35,,,baostock
002415,2025-12-11,29.28,29.35,28.6,28.65,425618,1263635595.05,-2.05,0.47,baostock
002415,2025-12-12,700.226562,707.1335587,693.7959099,705.7045249,49128113,1445998276.82,,,baostock
002415,2025-12-15,700.7029066,704.2754911,690.69967,691.1760146,43488694,1271943118.71,,,baostock
002415,2025-12-16,28.25,28.27,27.86,27.94,354465,1018006502.15,-1.17,0.39,baostock
002415,2025-12-17,683.3163287,695.2249437,682.3636395,692.3668761,26961175,779553415.09,,,baostock
002415,2025-12-18,689.7469808,695.463116,688.317947,691.1760146,21735110,632012643.82,,,baostock
002415,2025-12-19,692.8432207,699.0357005,692.8432207,695.2249437,25116793,734364021.22,,,baostock
002415,2025-12-22,696.6539775,699.7502174,692.6050484,694.2722545,33966100,992189726.3,,,baostock
002415,2025-12-23,694.5104268,698.5593559,689.5088085,694.0340822,30235474,880879442.75,,,baostock
002415,2025-12-24,693.081393,701.4174235,691.1760146,698.5593559,31494145,922046480.67,,,baostock
002415,2025-12-25,698.7975282,706.6572141,697.844839,705.7045249,36113503,1066941016.29,,,baostock
002415,2025-12-26,705.4663526,715.2314169,704.0373188,710.2297986,40172140,1197977495.93,,,baostock
002415,2025-12-29,710.2297986,711.8970047,703.3228019,704.990008,30591067,908336075.12,,,baostock
002415,2025-12-30,702.8464573,713.0878662,701.6555958,710.9443155,27017127,804085745.52,,,baostock
002415,2025-12-31,710.9443155,712.6115216,705.7045249,710.7061432,33021376,983772804.82,,,baostock
002415,2026-01-05,711.6588324,717.3749676,711.4206601,714.5169,54303058,1629147314.19,,,baostock
002415,2026-01-06,29.28,29.65,29.17,29.64,503623,1522876619.96,1.33,0.56,baostock
002415,2026-01-07,29.71,29.76,29.25,29.32,503242,1518569594.56,-1.08,0.56,baostock
002415,2026-01-08,29.26,29.47,29.12,29.26,403194,1210748013.92,-0.2,0.45,baostock
002415,2026-01-09,714.0405554,721.662069,712.135177,720.7093798,46610524,1404991697.0,,,baostock
002415,2026-01-12,726.425515,758.8169478,725.9491704,753.5771572,117704345,3693297953.4,,,baostock
002415,2026-01-13,758.5787755,759.2932924,732.8561671,735.2378901,89939100,2803787613.0,,,baostock
002415,2026-01-14,738.8104746,762.15136,738.8104746,748.5755389,108964251,3435757191.56,,,baostock
002415,2026-01-15,744.2884375,751.1954342,740.2395084,745.2411267,55622132,1739516760.42,,,baostock
002415,2026-01-16,748.3373666,749.5282281,732.3798225,738.33413,65137451,2020580354.55,,,baostock
002415,2026-01-19,30.25,30.51,30.1,30.26,459179,1424836545.78,0.03,0.51,baostock
002415,2026-01-20,739.7631638,743.5739206,728.5690657,741.6685422,55312870,1706945444.19,,,baostock
002415,2026-01-21,762.8658769,785.7304177,757.6260863,776.441698,189209367,6133973287.56,,,baostock
002415,2026-01-22,778.823421,780.9669717,762.3895323,764.2949107,85897882,2772982981.53,,,baostock
002415,2026-01-23,31.34,31.68,31.17,31.2,743424,2385282978.1,-0.45,0.82,baostock
002415,2026-01-26,31.3,31.68,30.72,31.56,982147,3143057140.35,1.15,1.09,baostock
002415,2026-01-27,766.914806,768.3438398,757.387914,759.769637,57429669,1838612957.96,,,baostock
002415,2026-01-28,31.21,31.57,31.08,31.28,606173,1943330057.97,0.42,0.67,baostock
002415,2026-01-29,762.8658769,773.1072858,758.8169478,766.914806,76072830,2447988225.95,,,baostock
002415,2026-01-30,761.6750154,766.2002891,742.6212314,746.1938159,71684201,2264810055.38,,,baostock
002415,2026-02-02,745.479299,757.6260863,743.8120929,752.8626403,69919131,2206702949.73,,,baostock
002415,2026-02-03,752.8626403,758.8169478,734.5233732,758.8169478,65892547,2068478962.63,,,baostock
002415,2026-02-04,752.8626403,761.4368431,744.2884375,760.4841539,47790609,1512058963.77,,,baostock
002415,2026-02-05,752.624468,777.8707318,751.6717788,774.059975,92244938,2991347050.35,,,baostock
002415,2026-02-06,769.296529,779.0615933,768.3438398,777.3943872,58649694,1909525722.85,,,baostock
002415,2026-02-09,781.205144,782.1578332,770.4873905,775.0126642,50971898,1656336391.84,,,baostock
002415,2026-02-10,775.2508365,787.8739684,771.678252,782.6341778,52396597,1720479925.29,,,baostock
002415,2026-02-11,781.4433163,783.586867,770.9637351,771.678252,41471351,1348595723.65,,,baostock
002415,2026-02-12,771.2019074,777.8707318,770.0110459,773.8218027,38172063,1241747087.66,,,baostock
002415,2026-02-13,771.678252,778.823421,766.914806,771.2019074,31770425,1033018334.98,,,baostock
002415,2026-02-24,775.9653534,783.3486947,768.5820121,770.2492182,38146143,1240962278.63,,,baostock
002415,2026-02-25,31.57,31.76,31.1,31.18,535259,1721294072.97,-1.3,0.59,baostock
002415,2026-02-26,759.0551201,761.9131877,743.097576,751.6717788,65740354,2068034156.16,,,baostock
002415,2026-02-27,30.65,30.7,30.39,30.69,399166,1249090104.64,-0.39,0.44,baostock
002415,2026-03-02,738.5723023,748.0991943,733.8088563,742.1448868,48418999,1508143165.4,,,baostock
002415,2026-03-03,742.6212314,745.0029544,720.4712075,721.9002413,74135596,2262977957.51,,,baostock
002415,2026-03-04,715.2314169,727.6163765,713.3260385,720.7093798,42789610,1294295424.88,,,baostock
002415,2026-03-05,729.0454103,735.7142347,728.807238,732.6179948,36805558,1131908756.64,,,baostock
002415,2026-03-06,726.1873427,740.4776807,725.4728258,740.0013361,27243868,842767524.31,,,baostock
002415,2026-03-09,729.0454103,742.8594037,724.9964812,742.1448868,41295200,1273101780.04,,,baostock
002415,2026-03-10,30.55,30.62,30.3,30.57,310388,969915238.62,0.53,0.34,baostock
002415,2026-03-11,746.4319882,755.006191,742.6212314,753.8153295,38285918,1207713256.86,,,baostock
002415,2026-03-12,750.9572619,760.4841539,749.0518835,760.2459816,34586215,1095703456.81,,,baostock
002415,2026-03-13,754.7680187,762.6277046,753.1008126,760.7223262,36707395,1170137175.8,,,baostock
002415,2026-03-16,760.2459816,763.1040492,753.3389849,756.4352248,31416117,998942290.78,,,baostock
002415,2026-03-17,757.6260863,763.3422215,750.7190896,753.1008126,34872542,1109175277.65,,,baostock
002415,2026-03-18,752.8626403,766.914806,742.6212314,766.2002891,49430816,1569298078.02,,,baostock
002415,2026-03-19,759.769637,762.15136,741.4303699,744.2884375,43323182,1363673587.92,,,baostock
002415,2026-03-20,744.7647821,753.1008126,742.3830591,745.479299,31569796,991088740.72,,,baostock
002415,2026-03-23,29.89,30.33,29.2,29.26,479521,1458279263.97,-4.22,0.53,baostock
002415,2026-03-24,723.5674474,725.9491704,704.0373188,721.1857244,41866836,1256810298.76,,,baostock
002415,2026-03-25,721.1857244,734.2852009,719.5185183,733.0943394,31597727,968493464.63,,,baostock
002415,2026-03-26,731.9034779,738.33413,718.5658291,723.3292751,28777667,881257877.44,,,baostock
002415,2026-03-27,716.1841061,728.807238,715.2314169,722.8529305,19770966,601179615.4,,,baostock
002415,2026-03-30,714.5169,727.8545488,704.990008,727.1400319,34865263,1045696922.99,,,baostock
002415,2026-03-31,722.8529305,730.7126164,720.7093798,724.5201366,23340712,712089884.95,,,baostock
002415,2026-04-01,732.3798225,734.5233732,726.9018596,731.6653056,21174877,649690395.25,,,baostock
002415,2026-04-02,29.97,30.11,29.45,29.65,242198,737731056.67,-1.07,0.27,baostock
002415,2026-04-03,726.1873427,729.9980995,719.0421737,720.9475521,19636378,596933455.68,,,baostock
002415,2026-04-07,720.9475521,726.425515,712.6115216,719.280346,28159442,849410644.67,,,baostock
002415,2026-04-08,727.6163765,737.8577854,724.9964812,735.4760624,34576598,1062317913.57,,,baostock
002415,2026-04-09,728.3308934,734.9997178,725.2346535,732.6179948,23877304,731842429.18,,,baostock
002415,2026-04-10,735.4760624,764.533083,734.2852009,755.2443633,62290076,1966517737.01,,,baostock
