source_file,signal_date,field_path,component,status,evidence_level,ok,source,vendor,rows,cutoff_date,retrieved_at,temporal_rule,warning,evidence,time_evidence_count
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-19.json,2025-12-19,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-19.json,2025-12-19,input_state.skip_analysts.social,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-26.json,2025-12-26,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-26.json,2025-12-26,input_state.data_audit_report,news,structured,tool_header,,,,,2025-12-26,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-26.json,2025-12-26,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-26.json,2025-12-26,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-26.json,2025-12-26,input_state.skip_analysts.social,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-31.json,2025-12-31,input_state.sentiment_report,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,empty; evidence audit failed; usable_evidence_rows=0; only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-31.json,2025-12-31,input_state.fundamentals_report,market,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,盈利兑现周期长的特征。 #### **2. 财务质量与盈利能力分析** * **数据质量说明**: 本次分析基于BaoStock提供的财务指标，数据严格遵循发布日不晚于分析日（2025-12-31）的规则。完整的财务报表（利润表、资产负债表、现金流,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-31.json,2025-12-31,input_state.data_audit_report,news,structured,tool_header,,,,,2025-12-31,,,,,0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-31.json,2025-12-31,input_state.data_evidence_audit.fundamentals.rule,news,inferred,artifact_text_mention,,BaoStock,BaoStock,,,,,Source inferred from final artifact text; not a tool-call log.,"entals require valuation fields, audited statement rows, or BaoStock financial indicators disclosed by pubDate; announcements ar",0
/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/runs/iflytek_weekly_2025q4_range/audit_reports/audit_002230_2025-12-31.json,2025-12-31,input_state.data_evidence_audit.social.rule,social,inferred,artifact_text_mention,,EastMoney,东方财富,,,,,Source inferred from final artifact text; not a tool-call log.,only EastMoney Guba/Xueqiu public discussion rows count as social evidence,0
